uf;ano;nom_cnaediv.x;nom_cnaediv;cod_cnaediv;empresa;emprego;Massa Salarial;salario;rlv;rlv_def;mass_sal_def;salario_def;tam_empr;pr;ql;hhm;empresa_norm1;emprego_norm;rlv_def_norm;mass_sal_def_norm;salario_def_norm;tam_empr_norm;pr_norm;ql_norm;hhm_norm
Rondônia;2013;fabrica_o_de_celulose_papel_e_produtos_de_papel;Fabricação de celulose, papel e produtos de papel;17;11;137;168955.96;1233.255182;4762;6690.426928;236930.2653;1729.417995;12.45454545;0.00;0.100423083;-0.007;-0.134;-0.311;-0.296;-0.315;-0.695;-0.021;0.000;0.000;0.000
Rondônia;2013;impress_o_e_reprodu_o_de_grava_es;Impressão e reprodução de gravações;18;111;496;526782.53;1062.061552;21759;30570.55849;738717.5013;1489.349801;4.468468468;0.00;0.532888542;-0.004;-0.371;-0.193;-0.079;-0.157;-0.353;-0.003;0.000;0.000;0.000
Rondônia;2013;fabrica_o_de_coque_de_produtos_derivados_do_petr_leo_e_de_biocombust_veis;Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis;19;5;143;254314.86;1778.425594;46307;65059.55476;356630.7294;2493.921185;28.6;0.00;0.116964246;-0.007;-0.016;-0.278;-1.163;-0.566;-2.205;-0.204;0.000;-0.001;0.000
Rondônia;2013;fabrica_o_de_produtos_qu_micos;Fabricação de produtos químicos;20;36;254;326670.06;1286.102598;49769;69923.53166;458095.8493;1803.526966;7.055555556;0.00;0.119995752;-0.007;-0.265;-0.480;-1.059;-0.694;-1.183;-0.015;0.000;0.000;0.000
Rondônia;2013;fabrica_o_de_produtos_farmoqu_micos_e_farmac_uticos;Fabricação de produtos farmoquímicos e farmacêuticos;21;4;25;30537.3;1221.492;1758;2469.922415;42823.05632;1712.922253;6.25;0.00;0.03349008;-0.007;-0.026;-0.172;-0.186;-0.315;-0.901;-0.042;0.000;0.000;0.000
Rondônia;2013;fabrica_o_de_produtos_de_borracha_e_de_material_pl_stico;Fabricação de produtos de borracha e de material plástico;22;53;484;543897.96;1123.756116;45085;63342.69174;762718.8054;1575.8653;9.132075472;0.00;0.140993285;-0.006;-0.416;-0.775;-0.433;-0.641;-0.374;-0.017;0.000;0.000;0.000
Rondônia;2013;fabrica_o_de_produtos_de_minerais_n_o_met_licos;Fabricação de produtos de minerais não-metálicos;23;209;3837;4896527.11;1276.134248;490555;689210.9159;6866496.259;1789.548152;18.35885167;0.01;1.108848987;0.001;-0.722;-0.624;-0.318;-0.437;-0.059;0.001;0.000;0.000;0.000
Rondônia;2013;metalurgia;Metalurgia;24;26;369;610125.48;1653.456585;228751;321386.3608;855590.9591;2318.674686;14.19230769;0.00;0.195966647;-0.006;-0.119;-0.420;-0.685;-0.534;-0.613;-0.029;0.000;0.000;0.000
Rondônia;2013;fabrica_o_de_produtos_de_metal_exceto_m_quinas_e_equipamentos;Fabricação de produtos de metal, exceto máquinas e equipamentos;25;208;963;1080176.62;1121.678733;165922;233114.0312;1514752.917;1572.952146;4.629807692;0.00;0.239646151;-0.006;-1.117;-0.889;-0.376;-0.724;-0.382;-0.006;0.000;0.000;0.000
Rondônia;2013;fabrica_o_de_equipamentos_de_inform_tica_produtos_eletr_nicos_e_pticos;Fabricação de equipamentos de informática, produtos eletrônicos e ópticos;26;1;3;3162.2;1054.066667;0;0;4434.415246;1478.138415;3;0.00;0.002230894;-0.007;-0.117;-0.313;-0.401;-0.314;-0.824;-0.028;0.000;-0.001;0.000
Rondônia;2013;fabrica_o_de_m_quinas_aparelhos_e_materiais_el_tricos;Fabricação de máquinas, aparelhos e materiais elétricos;27;6;11;11627.27;1057.024545;5906;8297.702948;16305.14938;1482.286307;1.833333333;0.00;0.006490542;-0.007;-0.141;-0.394;-0.335;-0.398;-0.635;-0.043;0.000;-0.001;0.000
