Coluna;;CNAE 2.0 Div
UF;Ano;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;FABRICAÇÃO DE BEBIDAS;FABRICAÇÃO DE PRODUTOS DO FUMO;FABRICAÇÃO DE PRODUTOS TÊXTEIS;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS;FABRICAÇÃO DE PRODUTOS DE MADEIRA;FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL;IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES;FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS;FABRICAÇÃO DE PRODUTOS QUÍMICOS;FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS;FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS;METALURGIA;FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS;FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS;FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES;FABRICAÇÃO DE MÓVEIS;FABRICAÇÃO DE PRODUTOS DIVERSOS;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS;Total
11 - Rondônia;Total;1337,57116766713;1423,97963423228;2354,66202531642;896,671228851281;853,566910177062;1411,54911846367;1047,76979266348;1153,83965670694;1080,03616634493;1553,44989599584;1353,23433955739;1220,60765182189;1181,02256888169;1162,28686325408;1610,94197519729;1199,59458510472;772,152362204754;1377,54643399092;2153,75913331694;1231,30223134037;1232,31227580186;1226,74902024614;1239,67529575655;1345,41558881451;1245,63136014778
;2019;1853,6400221072;1775,64149590161;0;1345,54340000002;1214,41303589745;1965,81258983892;1484,18334524342;1432,83852459026;1514,99584980236;2268,22852941188;1671,10647540981;1238,51909090892;1518,29141153077;1592,64537489812;2313,46047770705;1427,78815854664;1205,55899999999;2005,90218390807;2243,54123456825;1759,78372159093;1362,39683908041;1792,47223716383;1451,88865313651;1855,00841186739;1731,11061975865
;2018;1817,92329740563;1877,1124802372;0;1092,25629032259;1156,60195312502;1872,06897828863;1487,8175968064;1353,81883333328;1430,61094567407;1949,95490384619;1601,0504954955;1865,5188461538;1537,39504761909;1567,56935726213;2257,520822622;1601,27571844659;0;1689,08481481472;2702,13888157885;1698,86590296493;1415,86923518165;1757,56707262571;1376,85477459018;1682,59811676084;1708,30594476703
;2017;1757,54915896082;1812,55899726531;0;1096,57714285709;1128,9943336624;1862,44102941174;1419,75693029491;1457,70305882354;1385,10955512575;1855,68056000005;1629,408298969;1660,01947368427;1516,79175925928;1528,21627336447;2155,40977556107;1556,06187384047;1022,26428571463;1599,39768115949;2760,79609195393;1638,48791443856;1437,64191729327;1678,37366844918;1346,70782110094;1591,10599250942;1650,80580345095
;2016;1623,36395812694;1762,31631751228;1980,25666666675;1022,46443037968;1068,30763757118;1730,54744360905;1375,88422366993;1414,62474747476;1347,88574803149;2036,92823529419;1575,97330316745;1415,58368421052;1447,04322519087;1440,26784867504;1898,8811;1465,11207373273;928,530000000028;1649,07515873015;2703,2937748345;1560,46685503686;1323,83015452538;1528,96072674421;1274,4081464531;1398,54788671029;1533,98068075334
;2015;1484,18562003744;1613,72506415095;1883,65000000053;939,978172042958;969,956545784236;1676,9135203366;1289,50006288343;1392,65747311826;1241,02809174311;1774,4563087249;1372,57890476191;1367,98812499997;1335,49846863465;1343,26218667449;1822,99541786752;1380,61164418216;854,104999999981;1500,47854166672;2609,801470588;1503,78274336283;1289,98940816322;1411,72342644322;1348,97161885248;1371,69183574878;1424,8337763031
;2014;1369,57785120846;1593,2986844368;3526,23999999836;1001,37943548386;908,258136289009;1508,15490593348;1198,22796619487;1316,39611510787;1142,09600790514;1678,75066666665;1335,23326086953;1263,16380952383;1253,83291322314;1272,43613599568;1711,5373546512;1284,00369602766;1032,82750000013;1143,97769230776;2255,21202037359;1328,50806451611;1260,90856353588;1342,30272893771;1298,41668737062;1320,20192214118;1325,43626365246
;2013;1265,55638403507;1480,07022167486;8080,40999999642;1046,84907407405;863,972177033494;1283,87571428565;1115,01587137524;1233,25518248185;1062,06155241938;1778,4255944056;1286,10259842516;1221,49200000003;1123,7561157025;1276,1342481105;1653,45658536587;1121,67873312567;1054,06666666704;1057,02454545467;2260,16059259248;1253,86130120481;1208,80380952378;1188,66431512983;1450,37028397567;1309,78198412694;1242,75725674253
;2012;1140,3684162896;1394,64192209991;3448,26066666668;999,732857142822;790,969367088614;1229,66891808343;1021,87971897649;1158,06524193552;957,564867617125;1695,75999999988;1436,26754863825;1029,13238095239;1028,01594989562;1156,86407721795;1418,42861460959;1081,22382010583;701,266666666605;759,626000000211;1995,24003389831;1112,34380851062;1084,37723342937;1114,89938294012;1080,79529411764;1500,33780660375;1136,24528933894
;2011;1015,24778879597;1296,86509363295;2421,19999999991;877,043838383889;695,458599348534;1109,01791015626;916,523856572565;1038,03092592587;831,464825174849;1356,19733990144;1392,39583025827;970,577333333405;983,056855983781;1030,21417709925;1353,09992021268;1021,93020661158;800,016666666605;721,281428571524;2028,4574423077;963,78061728394;872,581382488461;977,453681818186;1020,80280000003;1088,53691919191;1017,0848211083
