Coluna;;CNAE 2.0 Div
UF;Ano;Fabricação de Produtos Alimentícios;Fabricação de Bebidas;Fabricação de Produtos do Fumo;Fabricação de Produtos Têxteis;Confecção de Artigos do Vestuário e Acessórios;Preparação de Couros e Fabricação de Artefatos de Couro, Artigos para Viagem e Calçados;Fabricação de Produtos de Madeira;Fabricação de Celulose, Papel e Produtos de Papel;Impressão e Reprodução de Gravações;Fabricação de Coque, de Produtos Derivados do Petróleo e de Biocombustíveis;Fabricação de Produtos Químicos;Fabricação de Produtos Farmoquímicos e Farmacêuticos;Fabricação de Produtos de Borracha e de Material Plástico;Fabricação de Produtos de Minerais Não-Metálicos;Metalurgia;Fabricação de Produtos de Metal, Exceto Máquinas e Equipamentos;Fabricação de Equipamentos de Informática, Produtos Eletrônicos e Ópticos;Fabricação de Máquinas, Aparelhos e Materiais Elétricos;Fabricação de Máquinas e Equipamentos;Fabricação de Veículos Automotores, Reboques e Carrocerias;Fabricação de Outros Equipamentos de Transporte, Exceto Veículos Automotores;Fabricação de Móveis;Fabricação de Produtos Diversos;Manutenção, Reparação e Instalação de Máquinas e Equipamentos;Total
Total;Total;565223;32583;2902;135734;686423;164948;197102;56709;174434;7706;116465;11851;183594;335964;54332;479207;44495;57430;176847;76932;14678;256278;149537;217800;4199174
;2019;49499;3150;193;9688;44303;9650;12385;4175;12336;552;8797;706;13444;25542;3077;36720;3044;4317;13267;6106;1160;20091;13534;23699;319435
;2018;49126;2912;187;9884;46901;10324;12964;4249;13045;550;8831;771;13614;26181;3323;37674;3186;4358;13499;6133;1145;20743;13476;22945;326021
;2017;47811;2656;203;10153;49133;10958;13811;4265;13309;547;8990;808;13736;26945;3584;38479;3246;4475;13695;6120;1164;21157;13341;22215;330801
;2016;47081;2549;237;10454;51810;11727;14428;4342;13827;566;8988;829;13961;27981;3824;39643;3381;4558;14101;6220;1202;21797;13460;21644;338610
;2015;46481;2455;232;10964;55825;12552;15110;4432;14287;598;9091;835;14151;28658;4036;41252;3518;4635;14529;6432;1264;22482;13574;21230;348623
;2014;45393;2436;228;11307;58521;13403;15643;4486;14565;595;9196;872;14291;28647;4256;41454;3657;4643;14731;6478;1266;22428;13441;20349;352286
;2013;43800;2380;232;11219;59101;13714;15932;4465;14552;636;9222;908;14395;28141;4425;40443;3683;4572;14712;6386;1247;21419;12770;18306;346660
;2012;42567;2383;233;11065;58456;14038;16010;4458;14267;644;9143;929;14482;27102;4469;38456;3672;4562;14292;6184;1197;20145;11825;16200;336779
;2011;42854;2379;239;10949;57894;14165;16144;4455;14073;647;9084;963;14538;25791;4590;36710;3642;4487;13920;5895;1107;18933;10849;14012;328320
;2010;43000;2379;242;10531;54889;13864;16036;4320;13438;670;8917;989;14326;24305;4575;34327;3566;4369;13339;5557;1054;17794;9718;11558;313763
;2009;35815;2313;233;10045;51951;13499;16061;4310;12953;607;8810;1036;14246;23060;4550;32794;3403;4239;12704;5339;998;16826;8575;9473;293840
;2008;36160;2291;218;9924;50128;13730;16298;4374;12193;585;8776;1085;14314;22235;4746;31589;3326;4173;12314;5193;956;16446;7835;8499;287388
;2007;35636;2300;225;9551;47511;13324;16280;4378;11589;509;8620;1120;14096;21376;4877;29666;3171;4042;11744;4889;918;16017;7139;7670;276648

Seleções vigentes
Variável;Critério;Valor
Ano;igual a;2019
;;2018
;;2017
;;2016
;;2015
;;2014
;;2013
;;2012
;;2011
;;2010
;;2009
;;2008
;;2007
Ind Rais Negativa;igual a;Não
CNAE 2.0 Seção;igual a;Indústrias de Transformação
